DOLocationID,avg,median,count,LocationID,Borough,Zone,service_zone
193,0.1622039264193527,0.1987179487179487,1612,125,Manhattan,Hudson Sq,Yellow Zone
188,0.1618780456910539,0.1997971602434077,2874,127,Manhattan,Inwood,Boro Zone
14,0.1616737778504908,0.1997578692493946,3601,128,Manhattan,Inwood Hill Park,Boro Zone
225,0.1611147859904018,0.1997354497354497,3055,129,Queens,Jackson Heights,Boro Zone
220,0.159493267388953,0.1995192307692308,1965,130,Queens,Jamaica,Boro Zone
62,0.1578352208621551,0.1997389033942558,1499,134,Queens,Kew Gardens,Boro Zone
42,0.1554243088040549,0.1994638915168716,13823,138,Queens,LaGuardia Airport,Airports
135,0.1535761344003323,0.1997389033942558,1517,143,Manhattan,Lincoln Square West,Yellow Zone
196,0.1535551680032848,0.1995073891625615,1617,145,Queens,Long Island City/Hunters Point,Boro Zone
216,0.1485740932314854,0.1992481203007519,2020,152,Manhattan,Manhattanville,Boro Zone
82,0.1472275033032626,0.1991150442477876,1930,153,Manhattan,Marble Hill,Boro Zone
247,0.1457395865064001,0.1993919885550787,1290,156,Staten Island,Mariners Harbor,Boro Zone
121,0.1388521401542446,0.1991525423728813,1053,160,Queens,Middle Village,Boro Zone
92,0.13704231673396,0.1876675603217158,1446,163,Manhattan,Midtown North,Yellow Zone
168,0.1274193671768581,0.147783251231527,1989,180,Queens,Ozone Park,Boro Zone
69,0.1252414265776412,0.1183431952662722,1197,184,Bronx,Pelham Bay Park,Boro Zone
130,0.1224546554571428,0.147783251231527,1709,189,Brooklyn,Prospect Heights,Boro Zone
197,0.1192653370561806,0.108695652173913,1432,194,Manhattan,Randalls Island,Yellow Zone
215,0.1148481135258038,0.0961538461538461,1015,201,Queens,Rockaway Park,Boro Zone
205,0.0906468715587659,0.0,1176,231,Manhattan,TriBeCa/Civic Center,Yellow Zone
39,0.0830530965061446,0.0,1014,237,Manhattan,Upper East Side South,Yellow Zone
76,0.0697921074812987,0.0,1197,248,Bronx,West Farms/Bronx River,Boro Zone
