locationID,avg,max,count,LocationID,Borough,Zone,service_zone
113,0.1828247988352533,99.99,45629,35,Brooklyn,Brownsville,Boro Zone
151,0.1826266246777088,124.11,41625,37,Brooklyn,Bushwick South,Boro Zone
161,0.1825224112362782,62.0,95434,38,Queens,Cambria Heights,Boro Zone
166,0.1824736792623889,80.0,35074,39,Brooklyn,Canarsie,Boro Zone
90,0.182207159504918,101.11,58798,40,Brooklyn,Carroll Gardens,Boro Zone
66,0.1821471575255591,80.7,9655,41,Manhattan,Central Harlem,Boro Zone
238,0.1820323250382357,81.0,92463,42,Manhattan,Central Harlem North,Boro Zone
106,0.1818429535021732,20.79,2296,43,Manhattan,Central Park,Yellow Zone
25,0.1817516724138376,100.0,10530,44,Staten Island,Charleston/Tottenville,Boro Zone
237,0.1815044744167843,83.46,106889,45,Manhattan,Chinatown,Yellow Zone
48,0.1812346852650436,148.08,97430,46,Bronx,City Island,Boro Zone
114,0.1808906877858816,101.11,39640,47,Bronx,Claremont/Bathgate,Boro Zone
234,0.1808681227555194,100.0,83128,48,Manhattan,Clinton East,Yellow Zone
100,0.1806418940634446,100.0,41707,49,Brooklyn,Clinton Hill,Boro Zone
164,0.1806109054046105,250.5,61520,50,Manhattan,Clinton West,Yellow Zone
236,0.1803910147479317,66.42,134723,51,Bronx,Co-Op City,Boro Zone
211,0.1802206124663307,110.0,24189,52,Brooklyn,Cobble Hill,Boro Zone
170,0.1802039891306247,60.0,99774,53,Queens,College Point,Boro Zone
158,0.1800823814510368,51.27,38388,54,Brooklyn,Columbia Street,Boro Zone
146,0.180076158414189,42.27,6617,55,Brooklyn,Coney Island,Boro Zone
261,0.1800249530721059,150.0,24842,56,Queens,Corona,Boro Zone
68,0.179914271197547,80.0,76466,57,Queens,Corona,Boro Zone
229,0.1798525714648171,90.0,72587,58,Bronx,Country Club,Boro Zone
224,0.1795457342326253,80.0,12542,59,Bronx,Crotona Park,Boro Zone
65,0.1793337132887133,64.72,11969,60,Bronx,Crotona Park East,Boro Zone
141,0.1790117880112426,100.0,98776,61,Brooklyn,Crown Heights North,Boro Zone
226,0.1788045090507463,50.0,8860,62,Brooklyn,Crown Heights South,Boro Zone
144,0.1788025695194853,68.69,28870,63,Brooklyn,Cypress Hills,Boro Zone
263,0.1784971455689849,100.29,97197,64,Queens,Douglaston,Boro Zone
143,0.178481925264618,32.79,45246,65,Brooklyn,Downtown Brooklyn/MetroTech,Boro Zone
262,0.1780736074256699,81.0,55757,66,Brooklyn,DUMBO/Vinegar Hill,Boro Zone
233,0.1780164259624303,100.0,58265,67,Brooklyn,Dyker Heights,Boro Zone
107,0.1778850912441651,45.0,80401,68,Manhattan,East Chelsea,Yellow Zone
50,0.1777752173438436,70.0,36444,69,Bronx,East Concourse/Concourse Village,Boro Zone
79,0.1777529460634484,100.29,94911,70,Queens,East Elmhurst,Boro Zone
12,0.1777175544410246,24.3,2553,71,Brooklyn,East Flatbush/Farragut,Boro Zone
132,0.1775898830163634,114.59,166804,72,Brooklyn,East Flatbush/Remsen Village,Boro Zone
231,0.1775341773846003,100.58,71583,73,Queens,East Flushing,Boro Zone
246,0.1773829536447181,111.11,60662,74,Manhattan,East Harlem North,Boro Zone
49,0.1773571547910497,28.0,7113,75,Manhattan,East Harlem South,Boro Zone
13,0.1772374977776625,254.95,53609,76,Brooklyn,East New York,Boro Zone
95,0.1764127278517977,80.8,9012,77,Brooklyn,East New York/Pennsylvania Avenue,Boro Zone
88,0.1758907312415682,100.0,24456,78,Bronx,East Tremont,Boro Zone
140,0.1757686301396526,91.8,70351,79,Manhattan,East Village,Yellow Zone
87,0.1748479189756128,80.0,48883,80,Brooklyn,East Williamsburg,Boro Zone
36,0.1747673931617953,68.69,3143,81,Bronx,Eastchester,Boro Zone
148,0.1747055837112026,90.0,43761,82,Queens,Elmhurst,Boro Zone
209,0.1743059752723265,71.4,14803,83,Queens,Elmhurst/Maspeth,Boro Zone
97,0.1740709262491565,86.98,9324,84,Staten Island,Eltingville/Annadale/Prince's Bay,Boro Zone
137,0.1729790936178307,50.0,54059,85,Brooklyn,Erasmus,Boro Zone
195,0.1729583464136313,31.03,2337,86,Queens,Far Rockaway,Boro Zone
93,0.172432787994287,36.0,1473,87,Manhattan,Financial District North,Yellow Zone
45,0.1720427344339962,100.0,7175,88,Manhattan,Financial District South,Yellow Zone
4,0.1718262908695071,400.0,11058,89,Brooklyn,Flatbush/Ditmas Park,Boro Zone
243,0.171121738347405,38.8,8216,90,Manhattan,Flatiron,Yellow Zone
70,0.1693549850812978,50.0,2124,92,Queens,Flushing,Boro Zone
232,0.1685553261013037,50.0,10922,93,Queens,Flushing Meadows-Corona Park,Boro Zone
244,0.1682887200356714,48.0,20525,94,Bronx,Fordham South,Boro Zone
116,0.1677953889250511,101.0,14023,95,Queens,Forest Hills,Boro Zone
37,0.167617298784351,40.0,4130,96,Queens,Forest Park/Highland Park,Boro Zone
228,0.1673765378435732,55.55,2897,97,Brooklyn,Fort Greene,Boro Zone
83,0.1672296454799105,33.0,1665,98,Queens,Fresh Meadows,Boro Zone
75,0.1670434040174387,81.0,54987,99,Staten Island,Freshkills Park,Boro Zone
133,0.1663338515849351,200.0,1531,101,Queens,Glen Oaks,Boro Zone
74,0.166320416016545,98.58,41395,102,Queens,Glendale,Boro Zone
152,0.1660465015260979,30.0,7612,103,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
41,0.1657751274499148,56.56,29267,104,Manhattan,Governor's Island/Ellis Island/Liberty Island,Yellow Zone
129,0.1651815824286992,40.0,6596,106,Brooklyn,Gowanus,Boro Zone
157,0.1644230296897012,80.0,1336,107,Manhattan,Gramercy,Yellow Zone
127,0.1634590597831784,65.0,3754,108,Brooklyn,Gravesend,Boro Zone
1,0.1633258972786989,80.08,1363,109,Staten Island,Great Kills,Boro Zone
10,0.16207176093467,70.16,3464,110,Staten Island,Great Kills Park,Boro Zone
198,0.1619446626218694,40.0,1938,111,Brooklyn,Green-Wood Cemetery,Boro Zone
17,0.1607933244948141,32.0,4959,112,Brooklyn,Greenpoint,Boro Zone
160,0.1582179174640053,37.5,1226,113,Manhattan,Greenwich Village North,Yellow Zone
82,0.1564285224061392,80.8,5325,114,Manhattan,Greenwich Village South,Yellow Zone
61,0.1560310343505261,100.0,6887,115,Staten Island,Grymes Hill/Clifton,Boro Zone
134,0.15597575848354,70.0,2862,116,Manhattan,Hamilton Heights,Boro Zone
193,0.1557839645143721,49.0,2355,117,Queens,Hammels/Arverne,Boro Zone
28,0.1546173498452002,40.0,1700,118,Staten Island,Heartland Village/Todt Hill,Boro Zone
200,0.1528747633991534,35.0,1571,121,Queens,Hillcrest/Pomonok,Boro Zone
89,0.1518715132393483,80.7,4141,124,Queens,Howard Beach,Boro Zone
219,0.1514200331811172,70.0,1260,125,Manhattan,Hudson Sq,Yellow Zone
188,0.1509010584456441,45.0,3308,127,Manhattan,Inwood,Boro Zone
42,0.1493707325221049,400.0,18286,128,Manhattan,Inwood Hill Park,Boro Zone
220,0.149227095977472,76.85,2188,129,Queens,Jackson Heights,Boro Zone
14,0.1492053716176853,50.0,4002,130,Queens,Jamaica,Boro Zone
225,0.1488850945852803,35.0,3408,131,Queens,Jamaica Estates,Boro Zone
227,0.1462657739149987,87.89,1028,133,Brooklyn,Kensington,Boro Zone
62,0.1442783413810409,50.0,1714,135,Queens,Kew Gardens Hills,Boro Zone
196,0.1431485369017788,86.98,2321,139,Queens,Laurelton,Boro Zone
247,0.1418445383991893,66.11,1922,140,Manhattan,Lenox Hill East,Yellow Zone
130,0.1417754267277934,50.0,5965,141,Manhattan,Lenox Hill West,Yellow Zone
135,0.139420062884658,25.3,1730,143,Manhattan,Lincoln Square West,Yellow Zone
216,0.1387382575146212,100.0,2315,144,Manhattan,Little Italy/NoLiTa,Yellow Zone
92,0.1317892856562558,31.3,2472,149,Brooklyn,Madison,Boro Zone
168,0.1204789026921865,38.2,2520,155,Brooklyn,Marine Park/Mill Basin,Boro Zone
121,0.1188810979569223,18.2,1273,159,Bronx,Melrose South,Boro Zone
56,0.1082039715616513,20.58,1156,165,Brooklyn,Midwood,Boro Zone
215,0.1071415243208246,25.0,1470,168,Bronx,Mott Haven/Port Morris,Boro Zone
69,0.1066062723818332,80.0,1535,170,Manhattan,Murray Hill,Yellow Zone
165,0.1053174439005773,66.25,1062,173,Queens,North Corona,Boro Zone
210,0.1016993998313901,20.0,1415,177,Brooklyn,Ocean Hill,Boro Zone
218,0.0965957157217769,21.8,1084,183,Bronx,Pelham Bay,Boro Zone
197,0.0952802409807746,25.0,1879,187,Staten Island,Port Richmond,Boro Zone
159,0.0875820035494217,40.0,1033,197,Queens,Richmond Hill,Boro Zone
55,0.0778355631650663,96.64,1422,203,Queens,Rosedale,Boro Zone
91,0.0733962383260743,55.0,1095,207,Queens,Saint Michaels Cemetery/Woodside,Boro Zone
205,0.0715096950379273,18.58,1507,210,Brooklyn,Sheepshead Bay,Boro Zone
39,0.0620514157511284,265.74,1424,219,Queens,Springfield Gardens South,Boro Zone
242,0.058551742886396,38.0,1144,221,Staten Island,Stapleton,Boro Zone
76,0.0528272512208161,25.0,1752,226,Queens,Sunnyside,Boro Zone
213,0.0524862279912251,83.83,1287,227,Brooklyn,Sunset Park East,Boro Zone
51,0.0309497065846374,20.8,1098,234,Manhattan,Union Sq,Yellow Zone
